"Molecule","Potency","pIC50","Outcome","is_active"
"[H]C1=C([H])C(Cl)=C([H])C(=C1[H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)C([H])(OC([H])([H])[H])OC([H])([H])[H])C([H])([H])C1([H])[H]",94.0794493601215,4.026505233153146,"Inactive",0
"[H]C(=O)C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])C2=C([H])C([H])=C([H])C(Cl)=C2[H])C([H])([H])C1([H])[H]",53.01526059317,4.2755990995043565,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C(=C([H])C(Cl)=C1[H])N(C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H])C([H])([H])C([H])([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",11.8429306789785,4.926540812797782,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C(Cl)=C([H])C(N([H])C([H])([H])C2=C([H])C([H])=C(Br)C([H])=C2[H])=C1[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",11.9118261313644,4.924021654303907,"Inactive",0
"[H]N(C(=O)C1(C2=C([H])C(Cl)=C([H])C([H])=C2OC([H])([H])C1([H])[H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C#N)C([H])([H])C1([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",21.3015932015531,4.671587913332753,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C1=C([H])C([H])=C([H])N=C1[H]",25.2804303733105,4.597215536910105,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H]",29.218966003156,4.534335156884581,"Inactive",0
"[H]N(C(=O)C([H])([H])N([H])C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O",14.3758225491766,4.842367296666267,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C(=O)OC([H])([H])[H]",10.755315549433,4.968376843354884,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]",62.8701692340309,4.201555370613597,"Inactive",0
